steamid,personaname,profileurl,time_created,country,state,city
76561197964492382,Arne Olav,https://steamcommunity.com/id/arneolav/,Sun Feb 15 20:52:17 2004,United States,California,
76561197964826578,Hoffa,https://steamcommunity.com/id/hoffa080579/,Fri Mar  5 07:05:33 2004,United States,,
76561197965322736,IceBluePenguin,https://steamcommunity.com/id/icebluepenguin/,,,,
76561197965986998,HuntMcfly,https://steamcommunity.com/id/huntle/,,,,
76561197966237520,Sokkratez,https://steamcommunity.com/id/sokkratez/,,,,
76561197966632827,Rear Admiral FudgeFinger,https://steamcommunity.com/id/seethemiracle/,Sat May 22 14:12:04 2004,United Kingdom (Great Britain),Surrey,
76561197967368088,kenty,https://steamcommunity.com/id/thekenty/,Thu Jul  8 13:58:04 2004,United Kingdom (Great Britain),"London, City of",
76561197968411256,malarky,https://steamcommunity.com/id/malarky/,Mon Aug 23 09:19:26 2004,,,
76561197969454861,Randles,https://steamcommunity.com/id/Randles/,Sat Oct  9 19:38:39 2004,United Kingdom (Great Britain),Westminster,London
76561197970102564,Mark,https://steamcommunity.com/profiles/76561197970102564/,Sat Nov  6 05:20:28 2004,Netherlands,,
76561197970402397,DingoBongo,https://steamcommunity.com/profiles/76561197970402397/,Tue Nov 16 12:03:42 2004,United Kingdom (Great Britain),Greater London,
76561197970541857,Octobinz,https://steamcommunity.com/id/octobinz/,Tue Nov 16 20:21:10 2004,,,
76561197970545000,Lloyd,https://steamcommunity.com/profiles/76561197970545000/,Wed Nov 17 05:33:26 2004,,,
76561197970620096,FoDDa,https://steamcommunity.com/id/FoDDa/,Wed Nov 17 17:33:58 2004,United Kingdom (Great Britain),,
76561197970768251,Arabidopsis,https://steamcommunity.com/id/waffleofroffle/,,,,
76561197971191498,spacemonkey,https://steamcommunity.com/id/bdimonkey/,Sat Nov 27 09:05:12 2004,United Kingdom (Great Britain),"London, City of",
76561197971310868,[SD]badman,https://steamcommunity.com/id/badman1126/,Tue Nov 30 10:37:38 2004,United Kingdom (Great Britain),"London, City of",
76561197971357275,Davros,https://steamcommunity.com/id/davros24/,,,,
76561197971530027,electricsheep,https://steamcommunity.com/profiles/76561197971530027/,Sun Dec  5 08:12:40 2004,,,
76561197971574847,Aubrey,https://steamcommunity.com/id/HilariousCow/,Mon Dec  6 13:30:16 2004,United Kingdom (Great Britain),Lambeth,
76561197972777491,t.tv/stayfreshshoe,https://steamcommunity.com/id/stayfreshshoe/,Sun Jan  2 14:19:07 2005,United Kingdom (Great Britain),Bromley,
76561197972944509,Nifty,https://steamcommunity.com/id/aeredhal/,Fri Jan  7 05:38:52 2005,,,
76561197973763460,squelch41,https://steamcommunity.com/profiles/76561197973763460/,Sun Jan 30 12:17:02 2005,,,
76561197973803216,eQ jRAD,https://steamcommunity.com/id/jrad/,Mon Jan 31 17:50:56 2005,,,
76561197973985283,MrMengis,https://steamcommunity.com/profiles/76561197973985283/,,,,
76561197987203350,Jesse,https://steamcommunity.com/id/jessebot/,Sat Dec 30 09:34:41 2006,,,
76561197993201259,digibob,https://steamcommunity.com/id/digibob/,Wed Oct 10 15:26:39 2007,United Kingdom (Great Britain),Kent,
76561197993675473,[SD]Fluffy_gIMp,https://steamcommunity.com/profiles/76561197993675473/,Fri Oct 26 07:21:08 2007,United Kingdom (Great Britain),,
76561197993798843,hillsbottom,https://steamcommunity.com/profiles/76561197993798843/,Tue Oct 30 09:47:53 2007,,,
76561197994105436,Bongoboy,https://steamcommunity.com/profiles/76561197994105436/,,,,
76561197995013275,Flawe,https://steamcommunity.com/id/flawe/,Wed Dec 19 15:35:01 2007,United States,California,Encinitas
